2020, 'SOUTHERN OREGON COASTAL'
2020, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY to Date', 'Pct Avg to Date', 'Pct Tot WY'
2020, 'BBAC1', 'BIG BAR 4E', '0.46', 'M', '5.01', '6.10', '0.05', '1.90', '0.84', '3.99', '0.00', '0.14', '0.00', '0.01', 'M'
2020, 'CHNC1', 'CALLAHAN', 'M', 'M', '4.28', '2.43', '0.00', '0.56', '0.72', '2.23', '0.21', '0.01', '0.03', '0.01', 'M'
2020, 'COPC1', 'COPCO #1 DAM', '0.77', '0.45', '2.41', '2.95', '0.26', '0.57', '0.23', '2.84', '0.28', '0.00', '1.29', '0.00', '12.05', '58', '58'
2020, 'FOJC1', 'FORT JONES', '0.32', '0.65', '2.54', '2.82', '0.03', '0.64', '0.58', '1.08', '0.88', '0.40', '0.14', '0.00', '10.08', '47', '47'
2020, 'HPAC1', 'HOOPA', '1.36', '3.06', '6.00', '11.58', '0.25', '2.66', '1.07', '4.47', '0.38', '0.00', '0.00', '0.12', '30.95', 'NA', 'NA'
2020, 'HPYC1', 'HAPPY CAMP', '1.03', '0.60', '6.57', '8.41', '0.40', '3.30', '1.70', '2.68', '0.57', '0.08', '0.30', '1.30', '26.94', '53', '53'
2020, 'HYAC1', 'HYAMPOM', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M'
2020, 'MTHC1', 'MT. HEBRON RS', '0.30', '0.10', '1.56', '1.34', '0.00', '0.00', 'M', 'M', 'M', 'M', 'M', 'M', 'M'
2020, 'ORLC1', 'ORLEANS', '1.79', '2.49', '6.23', '10.15', '0.26', '2.74', '1.17', '4.00', '0.72', '0.00', '0.00', '1.32', '30.87', '58', '58'
2020, 'STGC1', 'LAVA BEDS NM', '0.60', '0.05', '1.72', '10.13', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M'
2020, 'TRHC1', 'TRINITY RIVER HATCHERY', '0.32', '1.16', '6.33', '4.24', 'M', '1.81', '1.94', '2.52', '0.40', '0.69', '0.14', '0.00', 'M'
2020, 'TULC1', 'TULE LAKE', '0.42', '0.07', '1.34', '1.49', '0.24', '0.68', '0.10', '1.07', '0.17', '0.00', '0.00', '0.00', '5.58', '48', '48'
2020, 'WEAC1', 'WEAVERVILLE', '0.75', '2.26', '6.24', '3.36', '0.05', '2.32', '1.37', '3.09', '0.62', '0.02', '0.02', '0.04', '20.14', '52', '52'
2020, 'WLLC1', 'WILLOW CREEK 1NW', '1.62', '2.15', '6.41', '12.23', '0.02', 'M', 'M', 'M', 'M', '0.00', '0.00', 'M', 'M'
2020, 'YKAC1', 'YREKA', '0.43', '0.66', '2.02', '2.08', '0.03', '0.96', '0.73', '2.03', '0.27', '0.11', '0.08', '0.02', '9.42', '47', '47'
2020, 'RUSSIAN...NAPA...SAN FRANCISCO BAY'
2020, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY to Date', 'Pct Avg to Date', 'Pct Tot WY'
2020, 'ANGC1', 'ANGWIN PACIFIC UNION COLLEGE', '0.00', '1.58', '12.44', '3.36', '0.00', '1.80', '1.06', '2.60', '0.00', '0.00', '0.12', '0.00', '22.96', '56', '56'
2020, 'CLTC1', 'CALISTOGA', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M'
2020, 'FFDC1', 'FAIRFIELD', '0.00', '0.57', '7.37', '1.86', '0.00', '1.55', '0.83', '1.44', '0.00', '0.01', '0.00', '0.00', '13.63', '55', '55'
2020, 'GRNC1', 'GRATON', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M'
2020, 'KENC1', 'KENTFIELD', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M'
2020, 'MHMC1', 'MOUNT HAMILTON', '0.08', '1.65', '6.36', '3.12', '0.00', '3.80', '2.94', '1.55', '0.00', '0.00', '0.02', '0.00', '19.52', '75', '75'
2020, 'NSHC1', 'NAPA STATE HOSPITAL', '0.00', '0.96', '5.21', '2.09', '0.00', '1.59', '1.11', '2.92', '0.00', '0.00', '0.06', '0.00', '13.94', '50', '50'
2020, 'OAMC1', 'OAKLAND MUSEUM', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M'
2020, 'PORC1', 'POTTER VALLEY PH', '0.26', '1.71', '6.53', '5.77', '0.01', '2.30', '0.96', '2.38', '0.00', '0.00', '0.14', '0.00', '20.06', '43', '43'
2020, 'SFO', 'SAN FRANCISCO AIRPORT', '0.00', '1.19', '3.78', '1.18', '0.00', '1.33', '1.36', '0.25', '0.00', '0.00', '0.05', '0.00', '9.14', '44', '44'
2020, 'SFOC1', 'DOWNTOWN SAN FRANCISCO', '0.01', '1.46', '3.78', '2.44', '0.00', '1.33', '0.72', '0.23', '0.00', '0.00', '0.05', '0.00', '10.02', '42', '42'
2020, 'SJC', 'SAN JOSE INTL AIRPORT', '0.01', '0.99', '2.02', '2.38', '0.00', '2.06', '1.20', '0.13', '0.00', '0.00', '0.01', '0.00', '8.80', '59', '59'
2020, 'UKHC1', 'UKIAH FIRE DEPT', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M'
2020, 'SACRAMENTO...YUBA...FEATHER...AMERICAN'
2020, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY to Date', 'Pct Avg to Date', 'Pct Tot WY'
2020, '4LW', 'LAKEVIEW', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M'
2020, 'AAT', 'ALTURAS', '0.31', '0.10', '1.33', '1.79', '0.14', '2.10', '1.10', '1.26', '0.48', '0.00', '0.12', '0.00', '8.73', '62', '62'
2020, 'ADNC1', 'ADIN', '0.12', '0.14', '1.92', '1.48', '0.06', '1.52', '0.93', '1.95', '0.28', '0.04', '0.11', '0.01', '8.56', '55', '55'
2020, 'AUBC1', 'AUBURN', '0.01', '0.55', '4.38', '2.88', '0.00', '5.29', '2.24', '2.34', '0.17', '0.01', '0.00', '0.01', '17.88', '48', '48'
2020, 'BODC1', 'BOWMAN DAM', '0.17', '3.16', '14.33', '7.14', '0.09', '8.58', '4.20', '4.62', '0.46', '0.03', '0.00', '0.20', '42.98', '65', '65'
2020, 'BUCC1', 'BUCKS CREEK', '0.32', '1.94', '15.43', '6.50', '0.00', '5.77', '2.38', '4.80', '0.17', '0.00', '0.10', '0.00', '37.41', '54', '54'
2020, 'BUKC1', 'BUCKHORN', '0.57', '0.92', '16.10', '13.03', '0.02', '9.11', '1.86', '8.49', '0.46', '0.00', '1.90', '0.00', '52.46', '77', '77'
2020, 'CANC1', 'CANYON DAM', '0.20', '0.15', '7.23', '1.89', '0.00', '7.87', '2.02', '2.53', '0.31', '0.69', '0.00', '0.00', '22.89', '61', '61'
2020, 'CHEC1', 'CHESTER', '0.26', '1.30', '6.51', '0.74', '0.02', '3.30', '1.59', '2.86', '0.27', '0.28', '0.06', '0.00', '17.19', '50', '50'
2020, 'CHUC1', 'CHICO UNIVERSITY FARM', '0.01', '0.96', '5.47', '2.83', '0.00', '1.12', '1.47', '1.71', '0.00', '0.00', '0.00', '0.00', '13.57', '51', '51'
2020, 'CLGC1', 'COLGATE PH', '0.05', '1.64', '8.37', '3.98', '0.00', '5.68', '3.08', '3.07', '0.15', '0.00', '0.00', '0.00', '26.02', '61', '61'
2020, 'COFC1', 'COLFAX', '0.00', '2.60', '9.40', '4.27', '0.04', '7.66', '4.79', '4.52', '0.01', '0.00', '0.00', '0.01', '33.30', '71', '71'
2020, 'DAVC1', 'DAVIS EXPERIMENTAL FARM', '0.00', '0.52', '7.03', '1.45', '0.00', '1.66', '1.27', '0.78', '0.01', '0.00', '0.28', '0.00', '13.00', '66', '66'
2020, 'DESC1', 'DE SABLA', '0.03', 'M', '10.03', '7.08', '0.00', '5.63', '2.30', '5.23', '0.35', '0.00', '0.00', '0.00', 'M'
2020, 'DUNC1', 'DUNSMUIR', '0.36', '1.35', '15.52', '7.59', '0.09', '5.13', '2.85', '4.74', '0.27', '0.10', '0.03', '0.05', '38.08', '59', '59'
2020, 'DWNC1', 'DOWNIEVILLE', '0.09', '4.77', '11.52', '4.29', '0.43', '7.81', '4.77', '5.60', '0.23', '0.02', '0.15', '0.06', '39.74', '61', '61'
2020, 'FSTC1', 'FORESTHILL RS', '0.09', '0.40', '7.42', '4.21', '0.00', '7.62', '3.93', '4.42', '0.13', '0.00', '0.00', '0.03', '28.25', '52', '52'
2020, 'GEOC1', 'GEORGETOWN RS', '0.08', '1.52', '11.32', '5.11', '0.00', '8.00', '4.33', '3.30', '0.14', '0.03', '0.00', '0.04', '33.87', '66', '66'
2020, 'GLRC1', 'GOLD RUN 2SW', '0.07', '1.20', '12.39', '5.69', '0.03', '7.26', '4.28', '4.72', '0.00', '0.00', '0.00', '0.00', '35.64', '64', '64'
2020, 'GRAC1', 'GRASS VALLEY NO. 2', '0.04', '1.68', '11.54', '4.07', '0.00', '7.38', '4.69', '4.11', '0.03', '0.00', '0.02', '0.02', '33.58', '62', '62'
2020, 'GREC1', 'GREENVILLE RS', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M'
2020, 'HATC1', 'HAT CREEK', '0.04', '0.15', '2.71', 'M', '0.04', 'M', 'M', 'M', '0.06', '0.04', '0.50', '0.00', 'M'
2020, 'HLEC1', 'HARRY L ENGLEBRIGHT DAM', '0.02', '1.54', '6.96', '2.52', '0.00', '4.20', '2.13', '2.42', '0.00', '0.02', '0.00', '0.02', '19.83', '56', '56'
2020, 'HRRC1', 'HARRISON GULCH RS', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M'
2020, 'LSPC1', 'LAKE SPAULDING', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M'
2020, 'MCLC1', 'MCCLOUD', '0.32', 'M', '9.93', '5.56', '0.11', '3.78', '2.34', '4.78', '1.15', '0.05', '0.06', '0.04', 'M'
2020, 'MHS', 'MT. SHASTA', '0.21', '2.47', '6.25', '3.85', '0.12', '2.23', '2.05', '3.17', '0.70', '0.48', '0.10', '0.00', '21.63', '50', '50'
2020, 'MINC1', 'MINERAL', '0.22', '1.60', '10.08', '5.30', '0.10', '5.26', '1.56', '5.48', '0.49', '0.01', '0.13', '0.02', '30.25', '53', '53'
2020, 'MNZC1', 'MANZANITA LAKE', '0.64', '0.41', '4.53', '5.86', '0.14', '7.34', '0.98', '5.10', '1.36', '0.59', '0.25', '0.00', '27.20', '66', '66'
2020, 'NICC1', 'NICOLAUS', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M'
2020, 'NVDC1', 'NEVADA CITY', '0.05', '0.71', '12.01', '4.80', '0.00', '8.75', '5.30', '4.23', '0.00', '0.00', '0.00', '0.03', '35.88', '58', '58'
2020, 'ONDC1', 'ORLAND', '0.02', '0.60', '4.93', '1.96', '0.00', '1.78', '0.43', '1.76', '0.41', '0.00', '0.25', '0.01', '12.15', '53', '53'
2020, 'PCHC1', 'PACIFIC HOUSE', '0.05', 'M', '10.52', '4.01', '0.02', '9.95', '4.93', '3.47', '0.14', '0.00', '0.00', '0.00', 'M'
2020, 'PLCC1', 'PLACERVILLE', '0.07', 'M', '6.29', '2.70', '0.05', '6.39', '3.60', '2.47', '0.09', '0.00', '0.00', '0.02', 'M'
2020, 'PLUC1', 'PLUMAS EUREKA SP', '0.18', '2.82', '13.96', '5.49', '0.02', '6.63', '3.67', '6.23', '0.34', '0.00', '0.17', '0.00', '39.51', 'NA', 'NA'
2020, 'PRAC1', 'PORTOLA', '0.01', '0.85', '3.89', '1.20', '0.03', '2.43', '1.74', '1.14', '0.41', '0.35', '0.10', '0.02', '12.17', '52', '52'
2020, 'PRDC1', 'PARADISE', '0.00', '0.15', '10.90', '4.81', '0.00', '4.90', '2.32', '4.37', '0.20', '0.00', '0.00', '0.01', '27.66', '48', '48'
2020, 'PTRC1', 'PIT RIVER PH1', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M'
2020, 'QCYC1', 'QUINCY', '0.15', '1.00', '9.48', '2.01', '0.00', '4.78', '2.43', '3.97', '0.17', '0.05', '0.06', '0.00', '24.10', '60', '60'
2020, 'RBL', 'RED BLUFF AP', '0.02', '1.00', '4.49', '1.66', '0.00', '2.09', '0.32', '1.35', '0.08', '0.00', '0.00', '0.00', '11.01', '45', '45'
2020, 'SERC1', 'SIERRAVILLE', '0.81', '1.17', '4.02', '0.78', '0.08', '2.69', '1.34', '1.30', '0.27', '0.14', '0.39', '0.00', '12.99', '51', '51'
2020, 'SHDC1', 'SHASTA DAM', '0.25', '2.61', '11.81', '5.80', '0.00', '1.94', '2.02', '4.04', '0.07', '0.03', '0.00', '0.00', '28.57', '43', '43'
2020, 'SLPC1', 'SLY PARK', '0.12', 'M', '8.40', '3.80', '0.04', '10.24', '4.20', '3.72', '0.08', '0.00', '0.00', '0.00', 'M'
2020, 'SMTC1', 'SACRAMENTO 5 ESE', '0.00', '0.71', '4.73', '1.26', '0.00', '1.68', '2.15', '0.32', '0.01', '0.00', '0.01', '0.00', '10.87', '54', '54'
2020, 'SODC1', 'SODA SPRINGS', '0.12', 'M', '12.96', '3.23', '0.12', '8.85', '3.81', '3.54', '0.42', '0.07', '0.14', '0.05', 'M'
2020, 'STOC1', 'STONY GORGE', '0.00', '0.66', '4.81', '0.92', '0.00', '1.31', '0.33', '1.09', '0.06', '0.00', '0.09', '0.01', '9.28', '42', '42'
2020, 'STYC1', 'STRAWBERRY VALLEY', '0.27', '5.70', '17.07', '6.36', '0.55', '6.34', '5.20', '6.36', '0.36', '0.00', '0.00', '0.00', '48.21', '58', '58'
2020, 'TWLC1', 'CAPLES LAKE', 'M', 'M', '10.54', '2.31', '0.18', '6.85', '3.90', '2.94', '0.00', '0.40', '0.35', '0.03', 'M'
2020, 'VOLC1', 'VOLTA PH', '0.60', '0.32', '8.54', '4.96', '0.03', '6.46', '1.11', 'M', '0.65', '0.00', '0.09', '0.00', 'M'
2020, 'VTNC1', 'VINTON', 'M', 'M', '2.89', '0.75', '0.02', '1.73', '0.80', '0.87', '0.23', '0.06', '0.29', '0.03', 'M'
2020, 'WDLC1', 'WOODLAND', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M'
2020, 'WSKC1', 'WHISKEYTOWN RES', '0.10', '2.03', '12.08', '5.33', '0.00', '4.65', '2.83', '5.91', '0.07', '0.00', '0.00', '0.04', '33.04', '50', '50'
2020, 'SAN JOAQUIN'
2020, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY to Date', 'Pct Avg to Date', 'Pct Tot WY'
2020, 'ABYC1', 'AUBERRY', 'M', '1.55', '5.28', '0.99', '0.24', '4.52', '2.52', '1.10', '0.00', '0.00', '0.00', '0.00', 'M'
2020, 'ARNC1', 'CALAVERAS BIG TREES', '0.00', '2.12', '14.17', '3.19', '0.00', '8.44', '3.88', '2.98', '0.17', '0.00', '0.04', '0.04', '35.03', '61', '61'
2020, 'CHVC1', 'CHERRY VALLEY', '0.00', '2.82', '8.92', '2.41', '0.00', '7.69', '4.35', '2.61', '0.12', '0.03', '0.03', '0.07', '29.05', '58', '58'
2020, 'CMPC1', 'CAMP PARDEE', '0.00', '1.09', '5.91', '1.42', '0.00', '4.30', '2.19', '1.68', '0.00', '0.00', '0.00', '0.01', '16.60', '71', '71'
2020, 'EXQC1', 'EXCHEQUER DAM', '0.41', '0.00', '6.41', '1.18', '0.01', '3.90', '1.81', '1.38', '0.00', '0.00', '0.00', '0.00', '15.10', '73', '73'
2020, 'FDDC1', 'FIDDLETOWN DEXTER RANCH', '0.02', '1.96', '7.48', '2.33', '0.03', '6.65', '3.61', '2.60', '0.02', '0.00', '0.00', '0.02', '24.72', '66', '66'
2020, 'FLOC1', 'FLORENCE LAKE', 'M', '0.02', '7.96', '1.21', '0.42', '5.45', '5.69', '1.83', '0.12', '0.30', '0.07', '0.03', 'M'
2020, 'FRAC1', 'FRIANT GOVERNMENT CAMP', '0.00', '0.79', '2.79', '0.60', '0.01', '2.82', '1.45', '0.16', '0.11', '0.00', '0.00', '0.00', '8.73', '58', '58'
2020, 'GRVC1', 'GROVELAND RS', '0.00', '2.01', '10.02', '1.92', '0.00', '6.35', '3.26', '1.32', '0.00', '0.01', '0.01', '0.03', '24.93', '65', '65'
2020, 'HETC1', 'HETCH HETCHY', '0.00', '1.65', '5.83', '1.71', '0.02', '5.80', '3.34', '2.51', '0.09', '0.06', '0.00', '0.08', '21.09', '56', '56'
2020, 'HNTC1', 'HUNTINGTON LAKE', '0.04', '2.04', '5.60', '1.64', '0.52', '6.76', '5.80', '1.88', '0.04', 'M', '0.00', 'M', 'M'
2020, 'LOSC1', 'LOS BANOS', '0.00', '0.40', '5.00', '0.54', '0.00', '1.47', '0.90', '0.51', '0.00', '0.00', '0.00', '0.00', '8.82', '89', '89'
2020, 'MCEC1', 'MERCED', '0.00', '2.18', '3.22', '0.74', '0.00', '2.11', '1.54', '0.20', '0.00', '0.00', '0.00', '0.00', '9.99', '77', '77'
2020, 'MDRC1', 'MADERA', '0.00', '0.55', '3.94', '0.51', '0.00', '2.38', '1.56', '0.42', '0.00', '0.01', '0.00', '0.00', '9.37', '77', '77'
2020, 'MRIC1', 'MARIPOSA RS', '0.53', '0.53', '7.29', '1.31', '0.26', '5.55', '3.67', '1.60', '0.00', '0.00', '0.03', '0.00', '20.77', '63', '63'
2020, 'NMDC1', 'NEW MELONES DAM HQ', '0.00', '1.90', '8.79', '1.44', '0.00', '6.46', '2.61', '1.15', '0.00', '0.00', '0.00', '0.03', '22.38', '75', '75'
2020, 'NOFC1', 'NORTH FORK RS', '0.00', '1.87', '5.40', '1.00', '0.42', '5.74', '3.70', '1.97', '0.13', '0.00', '0.00', '0.00', '20.23', '61', '61'
2020, 'PANC1', 'PANOCHE 2W', '0.00', '1.15', '3.35', '0.78', '0.02', '1.81', '1.19', '0.39', '0.01', '0.00', '0.00', '0.00', '8.70', '81', '81'
2020, 'SCKC1', 'STOCKTON FIRE STA 4', 'M', 'M', '4.61', '1.20', '0.00', '2.30', '1.41', '0.12', '0.00', '0.00', '0.00', '0.00', 'M'
2020, 'SONC1', 'SONORA', '0.00', '1.64', '10.89', '1.95', '0.04', '6.42', '3.27', '1.87', '0.06', '0.00', '0.01', '0.02', '26.17', '75', '75'
2020, 'SPGC1', 'SALT SPRINGS PH', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M'
2020, 'TIGC1', 'TIGER CREEK PH', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M'
2020, 'TRPC1', 'TRACY PUMPING PLANT', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', '0.08', '0.00', 'M'
2020, 'TRAC1', 'TRACY CARBONA', '0.00', '0.75', '3.47', '0.84', '0.00', '1.67', '0.91', '0.82', '0.00', '0.01', '0.00', '0.00', '8.47', '65', '65'
2020, 'WSTC1', 'WEST POINT', '0.00', '2.49', '7.08', '2.45', '0.02', '7.09', '3.88', '2.20', '0.10', '0.00', '0.00', '0.04', '25.35', '63', '63'
2020, 'YNPC1', 'SOUTH ENTRANCE YOSEMITE', '0.09', '1.66', '2.88', '1.32', '0.44', '6.66', '3.93', '2.38', '0.15', '0.01', '0.04', '0.00', '19.56', '47', '47'
2020, 'YPQC1', 'YOSEMITE PARK HEADQUARTERS', '0.00', '2.00', '4.60', '1.37', '0.00', '4.58', '3.89', '1.98', '0.10', '0.08', '0.02', '0.00', '18.62', '51', '51'
2020, 'KERN...TULE...KAWEAH...KINGS'
2020, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY to Date', 'Pct Avg to Date', 'Pct Tot WY'
2020, 'ASHC1', 'ASH MOUNTAIN', '0.00', '2.91', '4.09', '0.81', '0.43', '3.57', '4.43', '1.31', '0.00', '0.00', '0.02', '0.00', '17.57', '65', '65'
